Photon    Incoher. Photoel. 
Energy    Scatter. Absorb.  
1.000E-03 4.417E-03 9.403E+03 
1.072E-03 4.969E-03 8.133E+03 
1.149E-03 5.582E-03 7.032E+03 
1.149E-03 5.582E-03 7.334E+03 
1.500E-03 8.522E-03 4.077E+03 
2.000E-03 1.285E-02 2.080E+03 
3.000E-03 2.123E-02 7.715E+02 
4.000E-03 2.874E-02 3.730E+02 
4.782E-03 3.383E-02 2.357E+02 
4.782E-03 3.383E-02 6.890E+02 
5.000E-03 3.515E-02 6.344E+02 
5.104E-03 3.577E-02 5.995E+02 
5.104E-03 3.577E-02 8.133E+02 
5.275E-03 3.677E-02 7.515E+02 
5.453E-03 3.777E-02 6.945E+02 
5.453E-03 3.777E-02 8.018E+02 
6.000E-03 4.071E-02 6.330E+02 
8.000E-03 5.027E-02 2.998E+02 
1.000E-02 5.848E-02 1.662E+02 
1.500E-02 7.440E-02 5.550E+01 
2.000E-02 8.486E-02 2.510E+01 
3.000E-02 9.729E-02 8.078E+00 
3.456E-02 1.008E-01 5.417E+00 
3.456E-02 1.008E-01 3.244E+01 
4.000E-02 1.038E-01 2.211E+01 
5.000E-02 1.073E-01 1.227E+01 
6.000E-02 1.091E-01 7.454E+00 
8.000E-02 1.096E-01 3.363E+00 
1.000E-01 1.081E-01 1.793E+00 
1.500E-01 1.019E-01 5.651E-01 
2.000E-01 9.555E-02 2.490E-01 
3.000E-01 8.495E-02 8.009E-02 
4.000E-01 7.688E-02 3.699E-02 
5.000E-01 7.064E-02 2.088E-02 
6.000E-01 6.559E-02 1.338E-02 
8.000E-01 5.784E-02 6.940E-03 
1.000E+00 5.211E-02 4.335E-03 
1.022E+00 5.156E-02 4.126E-03 
1.250E+00 4.665E-02 2.782E-03 
1.500E+00 4.244E-02 1.991E-03 
2.000E+00 3.625E-02 1.211E-03 
2.044E+00 3.580E-02 1.169E-03 
3.000E+00 2.854E-02 6.422E-04 
